Column A,Column B
<div>Why is it not legal to transmit a 3 kHz bandwidth USB signal with a carrier frequency of 14.348 MHz?</div><div>BR</div> <div>A. USB is not used on 20-meter phone</div><div>BR</div> <div>B. The lower 1 kHz of the signal is outside the 20-meter band</div><div>BR</div> <div>C. 14.348 MHz is outside the 20-meter band</div><div>BR</div> <div>D. The upper 1 kHz of the signal is outside the 20-meter band</div><div>BR</div>,"<div>Why is it not legal to transmit a 3 kHz bandwidth USB signal with a carrier frequency of 14.348 MHz?</div><div>BR</div> <div><font color=""#d5dbdb"">A. USB is not used on 20-meter phone</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The lower 1 kHz of the signal is outside the 20-meter band</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 14.348 MHz is outside the 20-meter band</font></div><div>BR</div> <div><font color=""#000000"">D. The upper 1 kHz of the signal is outside the 20-meter band</font></div><div>BR</div>"
"<div>When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?</div><div>BR</div> <div>A. The exact lower band edge</div><div>BR</div> <div>B. 300 Hz above the lower band edge</div><div>BR</div> <div>C. 1 kHz above the lower band edge</div><div>BR</div> <div>D. 3 kHz above the lower band edge</div><div>BR</div>","<div>When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The exact lower band edge</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 300 Hz above the lower band edge</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 1 kHz above the lower band edge</font></div><div>BR</div> <div><font color=""#000000"">D. 3 kHz above the lower band edge</font></div><div>BR</div>"
<div>What is the highest legal carrier frequency on the 20-meter band for transmitting a 2.8 kHz wide USB data signal?</div><div>BR</div> <div>A. 14.0708 MHz</div><div>BR</div> <div>B. 14.1002 MHz</div><div>BR</div> <div>C. 14.1472 MHz</div><div>BR</div> <div>D. 14.3490 MHz</div><div>BR</div>,"<div>What is the highest legal carrier frequency on the 20-meter band for transmitting a 2.8 kHz wide USB data signal?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 14.0708 MHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 14.1002 MHz</font></div><div>BR</div> <div><font color=""#000000"">C. 14.1472 MHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 14.3490 MHz</font></div><div>BR</div>"
"<div>May an Extra class operator answer the CQ of a station on 3.601 MHz LSB phone?</div><div>BR</div> <div>A. Yes, the entire signal will be inside the SSB allocation for Extra class operators</div><div>BR</div> <div>B. Yes, the displayed frequency is within the 75-meter phone band segment</div><div>BR</div> <div>C. No, the sideband components will extend beyond the edge of the phone band segment</div><div>BR</div> <div>D. No, US stations are not permitted to use phone emissions below 3.610 MHz</div><div>BR</div>","<div>May an Extra class operator answer the CQ of a station on 3.601 MHz LSB phone?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Yes, the entire signal will be inside the SSB allocation for Extra class operators</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Yes, the displayed frequency is within the 75-meter phone band segment</font></div><div>BR</div> <div><font color=""#000000"">C. No, the sideband components will extend beyond the edge of the phone band segment</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. No, US stations are not permitted to use phone emissions below 3.610 MHz</font></div><div>BR</div>"
<div>What is the maximum power permitted on the 2200-meter band?</div><div>BR</div> <div>A. 50 watts PEP (peak envelope power)</div><div>BR</div> <div>B. 100 watts PEP (peak envelope power)</div><div>BR</div> <div>C. 1 watt EIRP (equivalent isotropic radiated power)</div><div>BR</div> <div>D. 5 watts EIRP (equivalent isotropic radiated power)</div><div>BR</div>,"<div>What is the maximum power permitted on the 2200-meter band?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 50 watts PEP (peak envelope power)</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 100 watts PEP (peak envelope power)</font></div><div>BR</div> <div><font color=""#000000"">C. 1 watt EIRP (equivalent isotropic radiated power)</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 5 watts EIRP (equivalent isotropic radiated power)</font></div><div>BR</div>"
"<div>If a station in a message forwarding system inadvertently forwards a message that is in violation of FCC rules, who is primarily accountable for the rules violation?</div><div>BR</div> <div>A. The control operator of the packet bulletin board station</div><div>BR</div> <div>B. The control operator of the originating station</div><div>BR</div> <div>C. The control operators of all the stations in the system</div><div>BR</div> <div>D. The control operators of all the stations in the system not authenticating the source from which they accept communications</div><div>BR</div>","<div>If a station in a message forwarding system inadvertently forwards a message that is in violation of FCC rules, who is primarily accountable for the rules violation?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The control operator of the packet bulletin board station</font></div><div>BR</div> <div><font color=""#000000"">B. The control operator of the originating station</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The control operators of all the stations in the system</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The control operators of all the stations in the system not authenticating the source from which they accept communications</font></div><div>BR</div>"
"<div>Except in some parts of Alaska, what is the maximum power permitted on the 630-meter band?</div><div>BR</div> <div>A. 50 watts PEP (peak envelope power)</div><div>BR</div> <div>B. 100 watts PEP (peak envelope power)</div><div>BR</div> <div>C. 1 watt EIRP (equivalent isotropic radiated power)</div><div>BR</div> <div>D. 5 watts EIRP (equivalent isotropic radiated power)</div><div>BR</div>","<div>Except in some parts of Alaska, what is the maximum power permitted on the 630-meter band?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 50 watts PEP (peak envelope power)</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 100 watts PEP (peak envelope power)</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 1 watt EIRP (equivalent isotropic radiated power)</font></div><div>BR</div> <div><font color=""#000000"">D. 5 watts EIRP (equivalent isotropic radiated power)</font></div><div>BR</div>"
"<div>If an amateur station is installed aboard a ship or aircraft, what condition must be met before the station is operated?</div><div>BR</div> <div>A. Its operation must be approved by the master of the ship or the pilot in command of the aircraft</div><div>BR</div> <div>B. The amateur station operator must agree not to transmit when the main radio of the ship or aircraft is in use</div><div>BR</div> <div>C. The amateur station must have a power supply that is completely independent of the main ship or aircraft power supply</div><div>BR</div> <div>D. The amateur station must operate only in specific segments of the amateur service HF and VHF bands</div><div>BR</div>","<div>If an amateur station is installed aboard a ship or aircraft, what condition must be met before the station is operated?</div><div>BR</div> <div><font color=""#000000"">A. Its operation must be approved by the master of the ship or the pilot in command of the aircraft</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The amateur station operator must agree not to transmit when the main radio of the ship or aircraft is in use</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The amateur station must have a power supply that is completely independent of the main ship or aircraft power supply</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The amateur station must operate only in specific segments of the amateur service HF and VHF bands</font></div><div>BR</div>"
<div>What licensing is required when operating an amateur station aboard a US-registered vessel in international waters?</div><div>BR</div> <div>A. Any amateur license with an FCC Marine or Aircraft endorsement</div><div>BR</div> <div>B. Any FCC-issued amateur license</div><div>BR</div> <div>C. Only General class or higher amateur licenses</div><div>BR</div> <div>D. An unrestricted Radiotelephone Operator Permit</div><div>BR</div>,"<div>What licensing is required when operating an amateur station aboard a US-registered vessel in international waters?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Any amateur license with an FCC Marine or Aircraft endorsement</font></div><div>BR</div> <div><font color=""#000000"">B. Any FCC-issued amateur license</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Only General class or higher amateur licenses</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. An unrestricted Radiotelephone Operator Permit</font></div><div>BR</div>"
<div>Which of the following constitutes a spurious emission?</div><div>BR</div> <div>A. An amateur station transmission made without the proper call sign identification</div><div>BR</div> <div>B. A signal transmitted to prevent its detection by any station other than the intended recipient</div><div>BR</div> <div>C. Any transmitted signal that unintentionally interferes with another licensed radio station and whose levels exceed 40 dB below the fundamental power level</div><div>BR</div> <div>D. An emission outside the signal’s necessary bandwidth that can be reduced or eliminated without affecting the information transmitted</div><div>BR</div>,"<div>Which of the following constitutes a spurious emission?</div><div>BR</div> <div><font color=""#d5dbdb"">A. An amateur station transmission made without the proper call sign identification</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. A signal transmitted to prevent its detection by any station other than the intended recipient</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Any transmitted signal that unintentionally interferes with another licensed radio station and whose levels exceed 40 dB below the fundamental power level</font></div><div>BR</div> <div><font color=""#000000"">D. An emission outside the signal’s necessary bandwidth that can be reduced or eliminated without affecting the information transmitted</font></div><div>BR</div>"
